Panel,UniprotID
CARDIOMETABOLIC,O00533
CARDIOMETABOLIC,O14786
CARDIOMETABOLIC,O15031
CARDIOMETABOLIC,O75015
CARDIOMETABOLIC,O75023
CARDIOMETABOLIC,O95445
CARDIOMETABOLIC,P00441
CARDIOMETABOLIC,P00915
CARDIOMETABOLIC,P01033
CARDIOMETABOLIC,P01034
CARDIOMETABOLIC,P03950
CARDIOMETABOLIC,P03951
CARDIOMETABOLIC,P04070
CARDIOMETABOLIC,P05154
CARDIOMETABOLIC,P05362
CARDIOMETABOLIC,P05451
CARDIOMETABOLIC,P05543
CARDIOMETABOLIC,P06681
CARDIOMETABOLIC,P07359
CARDIOMETABOLIC,P07451
CARDIOMETABOLIC,P07478
CARDIOMETABOLIC,P07911
CARDIOMETABOLIC,P08581
CARDIOMETABOLIC,P08709
CARDIOMETABOLIC,P10721
CARDIOMETABOLIC,P11215
CARDIOMETABOLIC,P11226
CARDIOMETABOLIC,P12318
CARDIOMETABOLIC,P12830
CARDIOMETABOLIC,P13501
CARDIOMETABOLIC,P13591
CARDIOMETABOLIC,P13987
CARDIOMETABOLIC,P14151
CARDIOMETABOLIC,P14543
CARDIOMETABOLIC,P15529
CARDIOMETABOLIC,P15907
CARDIOMETABOLIC,P16871
CARDIOMETABOLIC,P17813
CARDIOMETABOLIC,P17936
CARDIOMETABOLIC,P19021
CARDIOMETABOLIC,P19320
CARDIOMETABOLIC,P20023
CARDIOMETABOLIC,P20062
CARDIOMETABOLIC,P22105
CARDIOMETABOLIC,P22748
CARDIOMETABOLIC,P22749
CARDIOMETABOLIC,P23141
CARDIOMETABOLIC,P24592
CARDIOMETABOLIC,P24821
CARDIOMETABOLIC,P27487
CARDIOMETABOLIC,P32942
CARDIOMETABOLIC,P35443
CARDIOMETABOLIC,P35542
CARDIOMETABOLIC,P35590
CARDIOMETABOLIC,P39060
CARDIOMETABOLIC,P42785
CARDIOMETABOLIC,P46531
CARDIOMETABOLIC,P49747
CARDIOMETABOLIC,P55058
CARDIOMETABOLIC,P55774
CARDIOMETABOLIC,P59665
CARDIOMETABOLIC,P80188
CARDIOMETABOLIC,Q03167
CARDIOMETABOLIC,Q06141
CARDIOMETABOLIC,Q12805
CARDIOMETABOLIC,Q12884
CARDIOMETABOLIC,Q13093
CARDIOMETABOLIC,Q13332
CARDIOMETABOLIC,Q13361
CARDIOMETABOLIC,Q14393
CARDIOMETABOLIC,Q14515
CARDIOMETABOLIC,Q14767
CARDIOMETABOLIC,Q15113
CARDIOMETABOLIC,Q15485
CARDIOMETABOLIC,Q15582
CARDIOMETABOLIC,Q16627
CARDIOMETABOLIC,Q16769
CARDIOMETABOLIC,Q16853
CARDIOMETABOLIC,Q6EMK4
CARDIOMETABOLIC,Q8N423
CARDIOMETABOLIC,Q8NHL6
CARDIOMETABOLIC,Q96H15
CARDIOMETABOLIC,Q96KN2
CARDIOMETABOLIC,Q99650
CARDIOMETABOLIC,Q9BXJ1
CARDIOMETABOLIC,Q9BXR6
CARDIOMETABOLIC,Q9H1U4
CARDIOMETABOLIC,Q9NQ79
CARDIOMETABOLIC,Q9UGM5
CARDIOMETABOLIC,Q9Y5C1
CARDIOMETABOLIC,Q9Y5Y7
CARDIOVASCULAR II,P22004
CARDIOVASCULAR II,Q15389
CARDIOVASCULAR II,P35318
CARDIOVASCULAR II,P29965
CARDIOVASCULAR II,Q9NQ25
CARDIOVASCULAR II,P49763
CARDIOVASCULAR II,Q76LX8
CARDIOVASCULAR II,Q9BWV1
CARDIOVASCULAR II,P24394
CARDIOVASCULAR II,P12931
CARDIOVASCULAR II,P18510
CARDIOVASCULAR II,P05231
CARDIOVASCULAR II,O00220
CARDIOVASCULAR II,Q13043
CARDIOVASCULAR II,P35475
CARDIOVASCULAR II,Q9Y6Q6
CARDIOVASCULAR II,P25116
CARDIOVASCULAR II,O14763
CARDIOVASCULAR II,Q9BQR3
CARDIOVASCULAR II,Q02763
CARDIOVASCULAR II,P13726
CARDIOVASCULAR II,Q9HB29
CARDIOVASCULAR II,P01127
CARDIOVASCULAR II,Q8NEV9
CARDIOVASCULAR II,Q14213
