Uniprot ID,Protein Name,Gene Name,Function
O00533,Neural cell adhesion molecule L1-like protein,CHL1,Extracellular matrix and cell adhesion protein that plays a role in nervous system development and in synaptic plasticity. Both soluble and membranous forms promote neurite outgrowth of cerebellar and hippocampal neurons and suppress neuronal cell death. Plays a role in neuronal positioning of pyramidal neurons and in regulation of both the number of interneurons and the efficacy of GABAergic synapses. May play a role in regulating cell migration in nerve regeneration and cortical development. Potentiates integrin-dependent cell migration towards extracellular matrix proteins. Recruits ANK3 to the plasma membrane (By similarity).By similarity
O14786,Neuropilin-1,NRP1,"Receptor involved in the development of the cardiovascular system, in angiogenesis, in the formation of certain neuronal circuits and in organogenesis outside the nervous system. It mediates the chemorepulsant activity of semaphorins (PubMed:9288753, PubMed:9529250, PubMed:10688880). It binds to semaphorin 3A, The PLGF-2 isoform of PGF, The VEGF165 isoform of VEGFA and VEGFB (PubMed:9288753, PubMed:9529250, PubMed:10688880). Coexpression with KDR results in increased VEGF165 binding to KDR as well as increased chemotaxis. Regulates VEGF-induced angiogenesis. Binding to VEGFA initiates a signaling pathway needed for motor neuron axon guidance and cell body migration, including for the caudal migration of facial motor neurons from rhombomere 4 to rhombomere 6 during embryonic development (By similarity). Regulates mitochondrial iron transport via interaction with ABCB8/MITOSUR (PubMed:30623799).By similarity"
O15031,Plexin-B2,PLXNB2,"Cell surface receptor for SEMA4C, SEMA4D and SEMA4G that plays an important role in cell-cell signaling (By similarity). Plays a role in glutamatergic synapse development and is required for SEMA4A-mediated excitatory synapse development (By similarity). Binding to class 4 semaphorins promotes downstream activation of RHOA and phosphorylation of ERBB2 at 'Tyr-1248' (By similarity). Required for normal differentiation and migration of neuronal cells during brain corticogenesis and for normal embryonic brain development (By similarity). Regulates the migration of cerebellar granule cells in the developing brain (By similarity). Plays a role in RHOA activation and subsequent changes of the actin cytoskeleton (PubMed:12183458). Plays a role in axon guidance, invasive growth and cell migration (PubMed:15184888). May modulate the activity of RAC1 and CDC42 (By similarity).By similarity"
O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,"Receptor for the Fc region of immunoglobulins gamma. Low affinity receptor. Binds complexed or aggregated IgG and also monomeric IgG. Contrary to III-A, is not capable to mediate antibody-dependent cytotoxicity and phagocytosis. May serve as a trap for immune complexes in the peripheral circulation which does not activate neutrophils."
O75023,Leukocyte immunoglobulin-like receptor subfamily B member 5,LILRB5,May act as receptor for class I MHC antigens.
O95445,Apolipoprotein M,APOM,"Probably involved in lipid transport. Can bind sphingosine-1-phosphate, myristic acid, palmitic acid and stearic acid, retinol, all-trans-retinoic acid and 9-cis-retinoic acid.2 Publications"
P00441,Superoxide dismutase [Cu-Zn],SOD1,Destroys radicals which are normally produced within the cells and which are toxic to biological systems.
P00915,Carbonic anhydrase 1,CA1,Reversible hydration of carbon dioxide. Can hydrates cyanamide to urea.1 Publication
P01033,Metalloproteinase inhibitor 1,TIMP1,"Metalloproteinase inhibitor that functions by forming one to one complexes with target metalloproteinases, such as collagenases, and irreversibly inactivates them by binding to their catalytic zinc cofactor. Acts on MMP1, MMP2, MMP3, MMP7, MMP8, MMP9, MMP10, MMP11, MMP12, MMP13 and MMP16. Does not act on MMP14. Also functions as a growth factor that regulates cell differentiation, migration and cell death and activates cellular signaling cascades via CD63 and ITGB1. Plays a role in integrin signaling. Mediates erythropoiesis in vitro; but, unlike IL3, it is species-specific, stimulating the growth and differentiation of only human and murine erythroid progenitors.12 Publications"
P01034,Cystatin-C,CST3,"As an inhibitor of cysteine proteinases, this protein is thought to serve an important physiological role as a local regulator of this enzyme activity."
P03950,Angiogenin,ANG,"Binds to actin on the surface of endothelial cells; once bound, angiogenin is endocytosed and translocated to the nucleus. Stimulates ribosomal RNA synthesis including that containing the initiation site sequences of 45S rRNA. Cleaves tRNA within anticodon loops to produce tRNA-derived stress-induced fragments (tiRNAs) which inhibit protein synthesis and triggers the assembly of stress granules (SGs). Angiogenin induces vascularization of normal and malignant tissues. Angiogenic activity is regulated by interaction with RNH1 in vivo.4 Publications"
P03951,Coagulation factor XI,F11,Factor XI triggers the middle phase of the intrinsic pathway of blood coagulation by activating factor IX.
P04070,Vitamin K-dependent protein C,PROC,Protein C is a vitamin K-dependent serine protease that regulates blood coagulation by inactivating factors Va and VIIIa in the presence of calcium ions and phospholipids (PubMed:25618265). Exerts a protective effect on the endothelial cell barrier function (PubMed:25651845).2 Publications
P05154,Plasma serine protease inhibitor,SERPINA5,"Heparin-dependent serine protease inhibitor acting in body fluids and secretions. Inactivates serine proteases by binding irreversibly to their serine activation site. Involved in the regulation of intravascular and extravascular proteolytic activities. Plays hemostatic roles in the blood plasma. Acts as a procoagulant and proinflammatory factor by inhibiting the anticoagulant activated protein C factor as well as the generation of activated protein C factor by the thrombin/thrombomodulin complex. Acts as an anticoagulant factor by inhibiting blood coagulation factors like prothrombin, factor XI, factor Xa, plasma kallikrein and fibrinolytic enzymes such as tissue- and urinary-type plasminogen activators. In seminal plasma, inactivates several serine proteases implicated in the reproductive system. Inhibits the serpin acrosin; indirectly protects component of the male genital tract from being degraded by excessive released acrosin. Inhibits tissue- and urinary-type plasminogen activator, prostate-specific antigen and kallikrein activities; has a control on the sperm motility and fertilization. Inhibits the activated protein C-catalyzed degradation of SEMG1 and SEMG2; regulates the degradation of semenogelin during the process of transfer of spermatozoa from the male reproductive tract into the female tract. In urine, inhibits urinary-type plasminogen activator and kallikrein activities. Inactivates membrane-anchored serine proteases activities such as MPRSS7 and TMPRSS11E. Inhibits urinary-type plasminogen activator-dependent tumor cell invasion and metastasis. May also play a non-inhibitory role in seminal plasma and urine as a hydrophobic hormone carrier by its binding to retinoic acid.18 Publications"
P05362,Intercellular adhesion molecule 1,ICAM1,"ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2). During leukocyte trans-endothelial migration, ICAM1 engagement promotes the assembly of endothelial apical cups through ARHGEF26/SGEF and RHOG activation.2 Publications"
P05451,Lithostathine-1-alpha,REG1A,"Might act as an inhibitor of spontaneous calcium carbonate precipitation. May be associated with neuronal sprouting in brain, and with brain and pancreas regeneration."
P05543,Thyroxine-binding globulin,SERPINA7,Major thyroid hormone transport protein in serum.
P06681,Complement C2,C2,"Component C2 which is part of the classical pathway of the complement system is cleaved by activated factor C1 into two fragments: C2b and C2a. C2a, a serine protease, then combines with complement factor C4b to generate the C3 or C5 convertase."
P07359,Platelet glycoprotein Ib alpha chain,GP1BA,"GP-Ib, a surface membrane protein of platelets, participates in the formation of platelet plugs by binding to the A1 domain of vWF, which is already bound to the subendothelium."
P07451,Carbonic anhydrase 3,CA3,Reversible hydration of carbon dioxide.
P07478,Trypsin-2,PRSS2,"In the ileum, may be involved in defensin processing, including DEFA5.1 Publication"
P07911,Uromodulin,UMOD,"Functions in biogenesis and organization of the apical membrane of epithelial cells of the thick ascending limb of Henle's loop (TALH), where it promotes formation of complex filamentous gel-like structure that may play a role in the water barrier permeability (Probable). May serve as a receptor for binding and endocytosis of cytokines (IL-1, IL-2) and TNF (PubMed:3498215). Facilitates neutrophil migration across renal epithelia (PubMed:20798515).Curated2 Publications"
P08581,Hepatocyte growth factor receptor,MET,"Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding to hepatocyte growth factor/HGF ligand. Regulates many physiological processes including proliferation, scattering, morphogenesis and survival. Ligand binding at the cell surface induces autophosphorylation of MET on its intracellular domain that provides docking sites for downstream signaling molecules. Following activation by ligand, interacts with the PI3-kinase subunit PIK3R1, PLCG1, SRC, GRB2, STAT3 or the adapter GAB1. Recruitment of these downstream effectors by MET leads to the activation of several signaling cascades including the RAS-ERK, PI3 kinase-AKT, or PLCgamma-PKC. The RAS-ERK activation is associated with the morphogenetic effects while PI3K/AKT coordinates prosurvival effects. During embryonic development, MET signaling plays a role in gastrulation, development and migration of muscles and neuronal precursors, angiogenesis and kidney formation. In adults, participates in wound healing as well as organ regeneration and tissue remodeling. Promotes also differentiation and proliferation of hematopoietic cells. May regulate cortical bone osteogenesis (By similarity).By similarity"
