Protein,C(Time): sum_sq,Residual: sum_sq,C(Time): df,Residual: df,C(Time): F,Residual: F,C(Time): PR(>F),Residual: PR(>F)
CHL1_OID01216,31.279592392480577,1310.7599685283226,2.0,84.0,1.002275711821754,,0.37138960442223645,
NRP1_OID01217,37.320824726974216,1127.021509691885,2.0,84.0,1.3908116438358367,,0.25454448626540477,
PLXNB2_OID01218,1.1723552802466486,121.67127765936335,2.0,84.0,0.40468812950424377,,0.6684786024589702,
FCGR3B_OID01219,29.695964167344215,2664.34785036835,2.0,84.0,0.4681184909305388,,0.6278029312869072,
LILRB5_OID01220,0.7303438795996458,780.1726310585982,2.0,84.0,0.03931750707732939,,0.9614630777338308,
APOM_OID01221,5.714730869785379,1218.2512493780673,2.0,84.0,0.19701904402192774,,0.8215533652722817,
SOD1_OID01222,21.906483004387592,1297.2068410788102,2.0,84.0,0.709271842429623,,0.4949247555444394,
CA1_OID01223,0.24413132793788872,675.3686735546507,2.0,84.0,0.015182101531929603,,0.9849352675523508,
TIMP1_OID01224,6.856658410211682,262.90981699648705,2.0,84.0,1.0953552686575359,,0.33914908873983646,
CST3_OID01225,9.845595468604241,1173.274669105028,2.0,84.0,0.3524451865962527,,0.7040016165040124,
ANG_OID01226,3.046311120627467,348.26455767203174,2.0,84.0,0.36737894869808213,,0.6936543454759851,
F11_OID01227,2.174509561441712,771.1329259433551,2.0,84.0,0.1184353546683606,,0.8884573092742148,
PROC_OID01228,1.1256439967747087,1820.1179704115532,2.0,84.0,0.025974716272840155,,0.9743675475817771,
SERPINA5_OID01229,18.97283362428293,1801.3074215156335,2.0,84.0,0.44237813196228326,,0.6439948048075155,
ICAM1_OID01230,7.2289151008002674,93.8056584302274,2.0,84.0,3.2366324091146326,,0.044246506601355866,
REG1A_OID01231,39.127574361860205,2801.817125021652,2.0,84.0,0.5865329712357401,,0.5585142096626277,
SERPINA7_OID01232,15.466954903740904,1214.8409695564396,2.0,84.0,0.5347301599437357,,0.5878080821971541,
C2_OID01233,47.48811504218654,1080.2717410012979,2.0,84.0,1.8462954792496404,,0.164167859201499,
GP1BA_OID01234,17.739301727032814,546.5687767370059,2.0,84.0,1.3631416653239898,,0.2614563195752915,
CA3_OID01235,8.512820542814248,3424.2344903312714,2.0,84.0,0.10441412929159795,,0.9009688861089482,
PRSS2_OID01236,13.462302606195765,1205.9085613383966,2.0,84.0,0.4688719589424637,,0.6273352943821426,
UMOD_OID01237,44.474574372582666,1383.4407004359202,2.0,84.0,1.3502075824861082,,0.2647528088506019,
MET_OID01238,2.4975326740107087,886.7888293930714,2.0,84.0,0.11828788188529851,,0.8885879739502124,
