Protein,C(Site): sum_sq,Residual: sum_sq,C(Site): df,Residual: df,C(Site): F,Residual: F,C(Site): PR(>F),Residual: PR(>F)
CHL1_OID01216,49.80573308833902,595.6536015234063,4.0,47.0,0.9824793509033912,,0.42624220080378095,
NRP1_OID01217,47.347854619112624,512.3958575815727,4.0,47.0,1.085756809979685,,0.37440424671904565,
PLXNB2_OID01218,17.25521888809588,51.11414664486368,4.0,47.0,3.9665891977774073,,0.007451860230497192,
FCGR3B_OID01219,276.60361716784143,1484.505721711358,4.0,47.0,2.1893431963168095,,0.08461694393252585,
LILRB5_OID01220,97.36595877428724,433.5131652343137,4.0,47.0,2.639020235935664,,0.04542054417731762,
APOM_OID01221,48.02865271920436,697.8175484938171,4.0,47.0,0.8087166490277099,,0.5259166242922447,
SOD1_OID01222,110.8981193895266,791.2050511921192,4.0,47.0,1.6469218704602686,,0.17827934631533482,
CA1_OID01223,3.442684326928783,327.7647284059994,4.0,47.0,0.12341639394250567,,0.9733624219919637,
TIMP1_OID01224,10.194215277615049,167.36944252829676,4.0,47.0,0.715674424808612,,0.5854421710500002,
CST3_OID01225,6.0137239170548265,689.4700296728836,4.0,47.0,0.10248633440806582,,0.9810822368513832,
ANG_OID01226,26.71522207734436,135.6089639524591,4.0,47.0,2.314772196909067,,0.07113571864916571,
F11_OID01227,9.322620829270564,441.1224856612314,4.0,47.0,0.24832285431954407,,0.9092495801057608,
PROC_OID01228,73.12092830028847,912.5116108874618,4.0,47.0,0.9415451784693503,,0.44831848810099084,
SERPINA5_OID01229,167.63661907534518,1013.4913638746984,4.0,47.0,1.9435096778770684,,0.11879977509819772,
ICAM1_OID01230,9.190392126046358,46.21722087226571,4.0,47.0,2.336512352819687,,0.0690270633501167,
REG1A_OID01231,86.81625107005014,1257.4623633625522,4.0,47.0,0.8112298067874466,,0.5243656594773631,
SERPINA7_OID01232,32.9665410204646,576.6178971973395,4.0,47.0,0.6717739058624665,,0.6148519549609747,
C2_OID01233,80.40304841119294,741.6096211261292,4.0,47.0,1.2738990864181914,,0.29363270137957936,
GP1BA_OID01234,58.651914506551634,200.6367701153797,4.0,47.0,3.4348638839015804,,0.01524615055018007,
CA3_OID01235,98.35221411027439,1483.4853112656926,4.0,47.0,0.7790023312126674,,0.5444871797964677,
PRSS2_OID01236,58.47291116334084,639.2004377326264,4.0,47.0,1.074868954418092,,0.3796109979062334,
UMOD_OID01237,4.384370001184681,810.7275508780925,4.0,47.0,0.06354335369277023,,0.9923148623415792,
MET_OID01238,32.7855123654782,468.66696878365667,4.0,47.0,0.8219691080303045,,0.5177730966688536,
F7_OID01239,56.24693187865978,1072.3944939865298,4.0,47.0,0.6162857542446072,,0.6530639204864682,
IGLC2_OID01240,24.285513543897814,735.4940131471116,4.0,47.0,0.3879770318181005,,0.8161599526085392,
KIT_OID01241,35.518416663496104,474.5800061902868,4.0,47.0,0.8793910201702486,,0.48350491165961085,
ITGAM_OID01242,4.166219442386552,84.4817909084488,4.0,47.0,0.5794512393930125,,0.6789655881643182,
MBL2_OID01243,4.672130184491322,226.73919252519195,4.0,47.0,0.24211751420819594,,0.9129969545272799,
FCGR2A_OID01244,69.13481077386982,715.2350886949665,4.0,47.0,1.135758073719751,,0.351259610026596,
CDH1_OID01245,17.819921875612586,217.81363344781334,4.0,47.0,0.9612992480042113,,0.4375558569646063,
CCL5_OID01246,45.22503888870072,706.0168767988985,4.0,47.0,0.7526650203485088,,0.5612981426810438,
NCAM1_OID01247,157.72347653238202,753.2867961218828,4.0,47.0,2.4602194792162932,,0.05816425322353739,
CD59_OID01248,9.827541533638312,101.79014939672027,4.0,47.0,1.1344281711406035,,0.3518590453482905,
SELL_OID01249,112.85570904500423,413.6603173457139,4.0,47.0,3.2056606004354977,,0.020834638584739388,
NID1_OID01250,8.280194000936993,20.869010563512198,4.0,47.0,4.662045630525362,,0.002983120969589802,
CD46_OID01251,80.41990555446938,347.45814993651675,4.0,47.0,2.7195617384069473,,0.040638184484755396,
ST6GAL1_OID01252,3.4264149941319704,62.50498241299208,4.0,47.0,0.6441146709719299,,0.6337658764118028,
IL7R_OID01253,24.733526591963493,120.72324671712613,4.0,47.0,2.4073154538043338,,0.0625830194977875,
ENG_OID01254,8.252873496959284,158.13607899245892,4.0,47.0,0.6132140382328303,,0.6552091653583155,
IGFBP3_OID01255,2.7911951079762263,43.33533099725318,4.0,47.0,0.7568084000742828,,0.5586320661571635,
PAM_OID01256,31.505985118347336,250.74179603327562,4.0,47.0,1.4764005482813605,,0.22444099025914332,
VCAM1_OID01257,18.03976221173164,243.08755226126388,4.0,47.0,0.8719788570664047,,0.4878341861305504,
